	flight_id	airline	origin_airport	destination_airport	flight_number	delay_reason	departure_delay	scheduled_trip_time	scheduled_departure	scheduled_arrival	day_of_week	day_of_year
65	65	NK	BOS	MYR	103	None	ON_TIME	MID_FLIGHT	NIGHT	MORNING	4	1
71	71	AA	BOS	MIA	2454	None	ON_TIME	LONG_FLIGHT	NIGHT	MORNING	4	1
104	104	B6	BOS	BWI	727	None	ON_TIME	MID_FLIGHT	NIGHT	MORNING	4	1
108	108	DL	BOS	DTW	2079	None	ON_TIME	MID_FLIGHT	NIGHT	MORNING	4	1
121	121	B6	BOS	PBI	721	None	ON_TIME	LONG_FLIGHT	NIGHT	MORNING	4	1
122	122	B6	BOS	JFK	917	None	ON_TIME	SHORT_FLIGHT	NIGHT	MORNING	4	1
133	133	B6	BOS	BUF	515	None	ON_TIME	MID_FLIGHT	NIGHT	MORNING	4	1
138	138	UA	BOS	EWR	1553	None	ON_TIME	SHORT_FLIGHT	NIGHT	MORNING	4	1
159	159	AA	BOS	DFW	1233	None	ON_TIME	LONG_FLIGHT	NIGHT	MORNING	4	1
184	184	WN	BOS	BWI	4122	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	4	1
194	194	UA	BOS	ORD	1198	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	4	1
197	197	UA	BOS	LAX	1431	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
256	256	DL	BOS	JFK	750	None	ON_TIME	SHORT_FLIGHT	MORNING	MORNING	4	1
257	257	DL	BOS	MSP	809	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
269	269	DL	BOS	ATL	2282	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
276	276	B6	BOS	PHL	159	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	4	1
280	280	B6	BOS	DCA	1600	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	4	1
378	378	US	BOS	PHX	647	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
379	379	US	BOS	CLT	829	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	4	1
435	435	AA	BOS	MIA	1619	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
439	439	B6	BOS	IAD	57	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	4	1
455	455	B6	BOS	FLL	269	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
469	469	AA	BOS	JFK	1165	None	ON_TIME	SHORT_FLIGHT	MORNING	MORNING	4	1
543	543	B6	BOS	RIC	1481	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	4	1
606	606	B6	BOS	PIT	1285	None	SMALL_DELAY	MID_FLIGHT	MORNING	MORNING	4	1
723	723	B6	BOS	DTW	1137	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	4	1
765	765	AA	BOS	DFW	1318	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
787	787	UA	BOS	EWR	464	None	ON_TIME	SHORT_FLIGHT	MORNING	MORNING	4	1
841	841	UA	BOS	IAH	514	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
842	842	UA	BOS	ORD	521	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	4	1
871	871	AA	BOS	LAX	201	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
876	876	AA	BOS	ORD	1247	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
906	906	B6	BOS	DCA	289	None	ON_TIME	MID_FLIGHT	MORNING	MORNING	4	1
907	907	B6	BOS	SAN	619	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
909	909	B6	BOS	JAX	1109	AIRLINE	LARGE_DELAY	LONG_FLIGHT	MORNING	MORNING	4	1
911	911	B6	BOS	HOU	1031	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
912	912	B6	BOS	AUS	1039	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
1057	1057	B6	BOS	TPA	2191	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
1104	1104	B6	BOS	ORD	111	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
1106	1106	B6	BOS	STT	907	None	ON_TIME	LONG_FLIGHT	MORNING	AFTERNOON	4	1
1113	1113	DL	BOS	ATL	1501	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
1263	1263	B6	BOS	FLL	569	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
1310	1310	UA	BOS	DEN	1690	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
1342	1342	B6	BOS	MCO	51	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
1353	1353	B6	BOS	PBI	221	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
1475	1475	AA	BOS	ORD	289	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
1479	1479	AA	BOS	MIA	1541	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
1586	1586	UA	BOS	SFO	1523	None	ON_TIME	LONG_FLIGHT	MORNING	MORNING	4	1
